,x [mm],y [mm],v_rms [m/s],u_rms [m/s],u [m/s],v [m/s],case_name,trailing_edge,phi [deg],alpha [deg],U [m/s],z [z/lambda],vorticity_xy,u_rate_of_change,y_plus,u_plus
312,-1.01162790698,5.27659574468,0.946105084177,1.6062399058,14.6448658359,1.43154112437,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-1530.79210433,1.56790417007,183.967041053,27.640241718
313,-1.01162790698,5.44680851064,0.92459237616,1.58185357794,14.9117431415,1.46299523928,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-1490.34697574,1.55181451442,189.901461733,28.1439372327
314,-1.01162790698,5.6170212766,0.902597295686,1.55707069702,15.1758817822,1.49610301679,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-1473.92893213,1.52667834992,195.835882412,28.6424638808
315,-1.01162790698,5.78723404255,0.881613885926,1.53465039865,15.4357419269,1.53271015003,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-1456.9614575,1.52073138542,201.770303091,29.1329154351
316,-1.01162790698,5.95744680851,0.857585979328,1.50874994171,15.6945898223,1.56884057734,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-1450.0076583,1.51513805768,207.70472377,29.6214565031
317,-1.01162790698,6.12765957447,0.833738640919,1.48020887849,15.9524856619,1.60445302984,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-1424.35098311,1.47804923568,213.639144449,30.1082006921
318,-1.01162790698,6.29787234043,0.812085411452,1.45219957562,16.2040685105,1.64369256569,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-1401.17518745,1.45224209986,219.573565128,30.5830299481
319,-1.01162790698,6.46808510638,0.787901682793,1.42010937683,16.4512586552,1.68393387488,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-1393.21954057,1.42473735015,225.507985807,31.0495685579
320,-1.01162790698,6.63829787234,0.760644464215,1.37733448449,16.6937671403,1.72187472472,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-1377.05468351,1.40056507242,231.442406487,31.5072711564
321,-1.01162790698,6.8085106383,0.736128513555,1.32866027349,16.9321611952,1.75843365908,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-1352.39354339,1.36470029957,237.376827166,31.9572083136
322,-1.01162790698,6.97872340426,0.709267926343,1.27100403307,17.1644506079,1.79319837604,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-1329.37771702,1.3557102843,243.311247845,32.3956237683
323,-1.01162790698,7.14893617021,0.681315220507,1.2083022128,17.3952098052,1.82735161571,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-1294.19699882,1.29262695107,249.245668524,32.8311511446
324,-1.01162790698,7.31914893617,0.653938862801,1.13613488045,17.6152314139,1.86255667164,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-1257.31673071,1.28613397301,255.180089203,33.2464127465
325,-1.01162790698,7.48936170213,0.626055789597,1.05785734764,17.8341478348,1.897882502,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-1181.46617336,1.14957069277,261.114509882,33.6595884532
326,-1.01162790698,7.65957446809,0.597120896585,0.985429263262,18.0298194421,1.93167682236,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-1091.76422259,1.10718728645,267.048930562,34.0288926573
327,-1.01162790698,7.82978723404,0.568744740293,0.911474473811,18.2182768526,1.96476574518,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-997.016842452,0.967457011074,272.983351241,34.3845810219
328,-1.01162790698,8.0,0.542077994618,0.832086784418,18.3829503864,1.99332604471,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-910.159605915,0.935189081246,278.91777192,34.6953804741
329,-1.01162790698,8.17021276596,0.513406486674,0.747271413615,18.5421315066,2.02042322438,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-821.121654445,0.798881262181,284.852192599,34.9958137241
