,x [mm],y [mm],v_rms [m/s],u_rms [m/s],u [m/s],v [m/s],case_name,trailing_edge,phi [deg],alpha [deg],U [m/s],z [z/lambda],u_rate_of_change
109,0.0,9.33333333333,0.301481237553,0.294789949114,19.1171965708,-1.76930553047,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.155484540186
110,0.0,9.45614035088,0.284727145088,0.284538969418,19.1362911635,-1.76427418959,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.138975078406
111,0.0,9.57894736842,0.268198258415,0.275692962884,19.1533582784,-1.75831396992,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.122233198204
112,0.0,9.70175438596,0.253372463016,0.267607347421,19.1683693729,-1.75306738337,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.0961748542537
113,0.0,9.82456140351,0.241161328659,0.260864601498,19.1801803199,-1.74873707665,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.0957985026555
114,0.0,9.94736842105,0.228105436498,0.253885180779,19.1919450483,-1.74425756523,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.0819137041693
115,0.0,10.0701754386,0.216792700197,0.248439559295,19.202004626,-1.74059806429,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.0686926786418
116,0.0,10.1929824561,0.207063280443,0.244103464773,19.210440569,-1.73769705254,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.0681567078275
117,0.0,10.3157894737,0.196785011799,0.239432642024,19.218810691,-1.73463234079,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.0596248782606
118,0.0,10.4385964912,0.187693598887,0.235503045177,19.2261330445,-1.73045476749,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.0544493216299
119,0.0,10.5614035088,0.178535824998,0.23179190983,19.2328198033,-1.72626698245,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.0576755599759
120,0.0,10.6842105263,0.169683232208,0.228401243796,19.2399027668,-1.72169791275,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.0616298787547
121,0.0,10.8070175439,0.161635677293,0.225588359824,19.2474713484,-1.71656344644,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.0622390514723
122,0.0,10.9298245614,0.153006373955,0.22242276801,19.2551147407,-1.71170418213,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.0557199018612
