,x [mm],y [mm],v_rms [m/s],u_rms [m/s],u [m/s],v [m/s],case_name,trailing_edge,phi [deg],alpha [deg],U [m/s],z [z/lambda],u_rate_of_change
83,0.0,6.67567567568,1.064141502,1.02333281971,16.9251927496,-0.993497239807,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,1.2871415085
84,0.0,6.79279279279,1.01992603108,0.984405186038,17.0759390524,-1.01150715707,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,1.28346805647
85,0.0,6.90990990991,0.975536152511,0.945228196311,17.2262551311,-1.02930082858,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,1.19156029402
86,0.0,7.02702702703,0.940290790456,0.909246907974,17.3658072376,-1.04680011975,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,1.14667175894
87,0.0,7.14414414414,0.91230987755,0.874810405981,17.5001021283,-1.06364778852,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,1.10021563325
88,0.0,7.26126126126,0.880769993073,0.837789076016,17.6289562114,-1.07987058769,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.991751059038
89,0.0,7.37837837838,0.844259573849,0.795742064263,17.7451072364,-1.09364147969,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.982746645694
90,0.0,7.4954954955,0.808089588693,0.753713358472,17.8602036904,-1.10678090497,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.910218577896
91,0.0,7.61261261261,0.765910721457,0.704903106006,17.9668058662,-1.12049521756,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.884463982996
92,0.0,7.72972972973,0.7206931078,0.652938421402,18.070391738,-1.13467712621,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.837932605956
93,0.0,7.84684684685,0.680300857141,0.603339423461,18.1685279892,-1.14669176641,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.69630381656
94,0.0,7.96396396396,0.653480520563,0.560412293137,18.2500770848,-1.15198296851,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.694035173789
95,0.0,8.08108108108,0.627637914506,0.517513390965,18.3313604835,-1.15647790511,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.563745379205
96,0.0,8.1981981982,0.602817415627,0.480272633498,18.3973847172,-1.16343171804,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.495735802067
97,0.0,8.31531531532,0.579770840777,0.446277950621,18.4554438651,-1.17124606735,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.468082822171
98,0.0,8.43243243243,0.55546736114,0.413776316693,18.5102643758,-1.17847757249,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.334008619735
99,0.0,8.54954954955,0.52482247402,0.388250066426,18.5493825025,-1.18298118002,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.332453453704
100,0.0,8.66666666667,0.492246979172,0.362528333924,18.5883184926,-1.1880242394,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.262438551043
101,0.0,8.78378378378,0.467851261832,0.343886756954,18.6190545391,-1.19052947058,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.223285003053
102,0.0,8.9009009009,0.447950871897,0.329152636929,18.6452050349,-1.19174599953,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.220417811837
103,0.0,9.01801801802,0.42826320528,0.314837988246,18.6710197336,-1.19299655648,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.169801592535
104,0.0,9.13513513514,0.411800420519,0.308121064595,18.6909064066,-1.19474432805,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.173258887569
105,0.0,9.25225225225,0.395217743264,0.301319648038,18.711197988,-1.19625791841,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.142118754115
106,0.0,9.36936936937,0.379692336239,0.295902990281,18.7278425268,-1.19911176692,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.11631823319
107,0.0,9.48648648649,0.364842786627,0.291552965012,18.7414653829,-1.20295662732,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.119286316062
108,0.0,9.6036036036,0.349771741384,0.287085555219,18.7554358524,-1.20685401576,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.0792186997961
109,0.0,9.72072072072,0.33654184471,0.282762373535,18.7647137181,-1.20746173883,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.0799112087358
110,0.0,9.83783783784,0.323330961271,0.27840359368,18.7740726885,-1.20800038514,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.0740001805576
111,0.0,9.95495495495,0.311318388282,0.274450298096,18.7827393763,-1.20866597781,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.0670548627134
112,0.0,10.0720720721,0.30102916408,0.271055111325,18.7905926486,-1.20954783535,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.0678634851643
113,0.0,10.1891891892,0.290432956601,0.267558228259,18.7985406243,-1.21046868416,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.0680631559368
114,0.0,10.3063063063,0.283754549482,0.264659371361,18.8065119849,-1.21237273868,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.0679384887878
115,0.0,10.4234234234,0.277208258653,0.261783083272,18.8144687448,-1.21425030755,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.0654521482437
116,0.0,10.5405405405,0.271959522642,0.259006839301,18.8221343118,-1.21695183485,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.0601926724125
117,0.0,10.6576576577,0.269199074359,0.256420906336,18.829183904,-1.22122940163,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.0608075669809
118,0.0,10.7747747748,0.266127102485,0.253854304117,18.836305511,-1.22560564024,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.0549842392126
119,0.0,10.8918918919,0.262994001837,0.251847462363,18.8427451065,-1.22835590823,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.0536840732266
120,0.0,11.009009009,0.259792225295,0.24996034945,18.8490324304,-1.23053248164,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.0539484568599
121,0.0,11.1261261261,0.256072652487,0.248233449594,18.8553507182,-1.23136487692,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.0518077783432
122,0.0,11.2432432432,0.251102460793,0.246936779768,18.8614182958,-1.22892451089,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.0516018656079
123,0.0,11.3603603604,0.24624098776,0.245589747056,18.8674617576,-1.22717754821,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.0573171315099
124,0.0,11.4774774775,0.242946573781,0.244639020646,18.8741745748,-1.22579797328,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.0596976505177
125,0.0,11.5945945946,0.240414084479,0.243872671864,18.8811661915,-1.22441260158,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.0583839535541
126,0.0,11.7117117117,0.238375395398,0.243147529538,18.8880039518,-1.2252174828,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.0551176616844
127,0.0,11.8288288288,0.238069830764,0.242606828021,18.8944591735,-1.23288528973,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.0555844815187
128,0.0,11.9459459459,0.23750720789,0.242009241976,18.9009690677,-1.2401730778,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.0542897618175
129,0.0,12.0630630631,0.23735525815,0.241156039382,18.9073273281,-1.246651087,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.0529304018277
130,0.0,12.1801801802,0.23768026829,0.240201509054,18.9135263842,-1.25287282428,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.0552121445331
131,0.0,12.2972972973,0.237967972387,0.239155625742,18.9199926713,-1.25474632766,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.0595096649094
132,0.0,12.4144144144,0.237281781843,0.237784067586,18.9269622717,-1.24989905105,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.0594664417058
133,0.0,12.5315315315,0.236474326698,0.236428733077,18.93392681,-1.24511556341,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.0578288262311
134,0.0,12.6486486486,0.23554292178,0.235324369368,18.9406995554,-1.24060515208,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.0567315441501
135,0.0,12.7657657658,0.234500952815,0.23440651161,18.9473437903,-1.23585937703,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.0541592218876
136,0.0,12.8828828829,0.233991243927,0.233591324585,18.9536867622,-1.2358967789,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.0499018838668
137,0.0,13.0,0.233673603103,0.233398656783,18.959531127,-1.24202099024,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.0496892250368
138,0.0,13.1171171171,0.233281600494,0.233272386392,18.9653505858,-1.24852764176,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,0.051922071547
