,x [mm],y [mm],u_rms [m/s],v_rms [m/s],u [m/s],w,v [m/s],Reynold_stress_uv,case_name,trailing_edge,phi [deg],alpha [deg],U [m/s],z [z/lambda],vorticity_xy,u_rate_of_change,y_plus,u_plus
21,-0.994082840237,4.09541984733,1.8156127045,0.917612998678,12.6558480962,0.127663169703,0.976537833628,-1.41447425943,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1741.63183958,1.76274967128,142.194382264,23.9855612311
22,-0.994082840237,4.23664122137,1.79873706212,0.91289748318,12.9047860269,0.113188839166,1.01981430168,-1.38469161589,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1738.19576907,1.73677035115,147.097636825,24.4573522903
23,-0.994082840237,4.37786259542,1.7804585744,0.908882512455,13.1500551223,0.103677670166,1.06145038836,-1.35922940581,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1720.24366152,1.720326502,152.000891385,24.9221901155
24,-0.994082840237,4.51908396947,1.75888336896,0.902981809674,13.3930019947,0.0965860674017,1.10316452449,-1.32660415458,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1717.9709967,1.71942611179,156.904145946,25.3826268275
25,-0.994082840237,4.66030534351,1.73667372629,0.897042550089,13.6358217128,0.0971885886351,1.14204150554,-1.28917663219,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1688.28282128,1.68068069188,161.807400507,25.8428225545
26,-0.994082840237,4.80152671756,1.71014249433,0.89176032509,13.8731697494,0.106416620758,1.17501484003,-1.24762081423,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1657.41678463,1.66664422169,166.710655068,26.2926482654
27,-0.994082840237,4.9427480916,1.6839666431,0.886055123461,14.1085355364,0.116381166361,1.2069806235,-1.20814607963,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1598.46995017,1.57888256226,171.613909629,26.7387171857
28,-0.994082840237,5.08396946565,1.66533776116,0.878813531067,14.3315075013,0.12049272171,1.23703968326,-1.18459502779,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1530.83958833,1.55336235953,176.51716419,27.1612971406
29,-0.994082840237,5.22519083969,1.64888822172,0.871192145276,14.5508754681,0.122466683658,1.26647745005,-1.16580656041,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1507.91648039,1.54936741078,181.42041875,27.5770467418
30,-0.994082840237,5.36641221374,1.62931111388,0.860037200525,14.7696792628,0.124527822654,1.29727248095,-1.13957780576,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1493.41716587,1.54351015434,186.323673311,27.9917271152
31,-0.994082840237,5.50763358779,1.60736854192,0.846997149462,14.9876558876,0.125338455707,1.32803077723,-1.1078262308,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1478.20382787,1.53274505941,191.226927872,28.4048398235
32,-0.994082840237,5.64885496183,1.58339423325,0.834359264923,15.204112251,0.124937126306,1.36058727846,-1.07440348213,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1459.10823371,1.49658914197,196.130182433,28.8150713084
33,-0.994082840237,5.79007633588,1.55385944545,0.823378579733,15.415462626,0.120728140376,1.3979966878,-1.03488020303,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1474.61075082,1.53879839767,201.033436994,29.2156258443
34,-0.994082840237,5.93129770992,1.51965756138,0.812557998637,15.6327738501,0.116986448598,1.42945899403,-0.985228276303,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1467.86215086,1.44043667956,205.936691554,29.6274774747
35,-0.994082840237,6.07251908397,1.48658380703,0.795483453061,15.8361942972,0.106731932036,1.46544000732,-0.951658295115,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1444.14731365,1.46790025927,210.839946115,30.0130030872
36,-0.994082840237,6.21374045802,1.44778071041,0.775074672024,16.0434931888,0.101662521768,1.49883815145,-0.907495811945,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1437.85407223,1.42333774339,215.743200676,30.4058791884
37,-0.994082840237,6.35496183206,1.41314419942,0.759062231231,16.2444989006,0.0941622627295,1.53150301772,-0.868973855946,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1403.97836759,1.41159213845,220.646455237,30.7868283569
38,-0.994082840237,6.49618320611,1.37911648676,0.744369232979,16.443845882,0.0854864671958,1.56423351427,-0.832452212257,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1400.25917317,1.42192250679,225.549709798,31.1646338736
39,-0.994082840237,6.63740458015,1.34449758648,0.728323956546,16.6446517322,0.0813418253995,1.59602708764,-0.7930518857,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1394.44296839,1.43123415622,230.452964359,31.5452042612
40,-0.994082840237,6.7786259542,1.30899180424,0.710640053267,16.8467725863,0.0809632530954,1.62769225767,-0.751176486149,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1388.46363174,1.41832124491,235.356218919,31.9282668648
41,-0.994082840237,6.91984732824,1.26871459179,0.692679982079,17.0470698614,0.0817375804834,1.65898113053,-0.70307855969,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1359.60479091,1.38094577079,240.25947348,32.3078733928
42,-0.994082840237,7.06106870229,1.21613962892,0.674665292145,17.2420889206,0.085464417705,1.68904044026,-0.637490563466,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1318.16257368,1.34008671183,245.162728041,32.6774765637
43,-0.994082840237,7.20229007634,1.16398375277,0.657436232518,17.4313378074,0.0876490158683,1.71871893485,-0.576839857359,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1227.78010598,1.20933493775,250.065982602,33.0361440135
44,-0.994082840237,7.34351145038,1.11384191945,0.637967911367,17.602121749,0.0854065532599,1.74428733882,-0.518283857603,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1148.29286751,1.17566004172,254.969237163,33.3598164104
45,-0.994082840237,7.48473282443,1.06286370866,0.617094638333,17.7681500755,0.0834078008286,1.77005360718,-0.460503680275,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1106.71435908,1.10371125846,259.872491724,33.6744758912
46,-0.994082840237,7.62595419847,1.00944006469,0.597163858031,17.924017696,0.0835112472079,1.7953432768,-0.407049914086,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1036.6812642,1.03041154825,264.775746284,33.9698786431
47,-0.994082840237,7.76717557252,0.953911677297,0.574774325138,18.0695338306,0.0847916451458,1.8186514929,-0.355643495484,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-990.335874537,1.01014154019,269.679000845,34.2456630972
48,-0.994082840237,7.90839694656,0.89442909159,0.550952800085,18.2121874069,0.0863492078918,1.84204094958,-0.303835959765,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-931.825988561,0.921056801833,274.582255406,34.5160223859
49,-0.994082840237,8.04961832061,0.831192467274,0.528143442149,18.3422603141,0.0880892065784,1.86695831768,-0.254873109913,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-887.349366943,0.924967509689,279.485509967,34.7625385936
50,-0.994082840237,8.19083969466,0.762790969963,0.50441479639,18.4728854967,0.0898511499738,1.89187664031,-0.205781238993,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-803.667223868,0.758228955044,284.388764528,35.0101014826
51,-0.994082840237,8.3320610687,0.703351242204,0.484527985204,18.5799636316,0.0896608400194,1.91556065985,-0.16648882185,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-724.541741139,0.772335334682,289.292019088,35.2130376383
52,-0.994082840237,8.47328244275,0.637348639469,0.463789967762,18.6890338888,0.0898178786985,1.93860624705,-0.126665285733,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-648.83710476,0.591225727995,294.195273649,35.4197492955
53,-0.994082840237,8.61450381679,0.582659633708,0.448160872149,18.7725275985,0.0886399534921,1.9588726872,-0.0986024582702,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-537.022331169,0.550882101114,299.09852821,35.5779878798
54,-0.994082840237,8.75572519084,0.528205125055,0.434785474552,18.8503239257,0.0869642656561,1.97940235055,-0.0730829291811,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-469.399222501,0.460557674971,304.001782771,35.7254286958
55,-0.994082840237,8.89694656489,0.482972470336,0.419080460724,18.9153645134,0.0855047067855,1.99724884675,-0.0542086666612,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-385.652796175,0.404679903015,308.905037332,35.8486946347
56,-0.994082840237,9.03816793893,0.44171995757,0.399036143658,18.9725139654,0.0844577476785,2.01212900758,-0.0394731011105,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-341.97068117,0.383119324103,313.808291893,35.9570051698
57,-0.994082840237,9.17938931298,0.400814142735,0.379045126007,19.0266186027,0.0832548753859,2.02681410541,-0.0261914983756,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-280.600407826,0.284367721476,318.711546453,36.0595451247
58,-0.994082840237,9.32061068702,0.377536465601,0.359635633729,19.0667774031,0.0812347720306,2.04235069194,-0.020827907058,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-222.863932038,0.262378209706,323.614801014,36.1356547112
