,x [mm],y [mm],u_rms [m/s],v_rms [m/s],u [m/s],w,v [m/s],Reynold_stress_uv,case_name,trailing_edge,phi [deg],alpha [deg],U [m/s],z [z/lambda],vorticity_xy,u_rate_of_change,y_plus,u_plus
80,-1.06748466258,16.2857142857,0.244294398715,0.0633545738083,19.4387478376,0.0680177591395,2.15751214424,-0.014431419554,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,-7.41625708355,0.0371724041786,563.185677023,36.9884502639
81,-1.06748466258,16.7380952381,0.24397863018,0.0624903740279,19.4555639252,0.068039381792,2.17024654267,-0.0142199985436,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,-8.6769539027,0.0367808853393,578.829723607,37.0204482622
82,-1.06748466258,17.1904761905,0.244575122032,0.0615426321746,19.4722028971,0.0665763373498,2.1830393993,-0.0142580072643,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,-8.04369721861,0.0376661370478,594.473770191,37.0521092411
83,-1.06748466258,17.6428571429,0.245466872621,0.0613745758889,19.4892423401,0.0627273559774,2.19652077917,-0.0143920996259,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,-9.3686801217,0.0369895316123,610.117816775,37.0845322445
84,-1.06748466258,18.0952380952,0.246287550023,0.0610718683405,19.5059756996,0.0589621335856,2.20782449296,-0.014519796279,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,-8.39372964523,0.0335102670571,625.761863359,37.1163728262
85,-1.06748466258,18.5476190476,0.247041557756,0.0605243211026,19.5211351061,0.0602831459789,2.2190418604,-0.0146825131365,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,-8.8464935386,0.0359874076904,641.405909943,37.1452184575
86,-1.06748466258,19.0,0.247807385966,0.0601640715474,19.5374151239,0.0591260487697,2.2308245617,-0.0148690177743,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,-8.72223480669,0.0333715002087,657.049956527,37.1761964111
87,-1.06748466258,19.4523809524,0.247509133851,0.0609602112725,19.552511755,0.0590373204992,2.24257921984,-0.0147716537599,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,-6.62399458311,0.0326351467474,672.694003111,37.204922592
88,-1.06748466258,19.9047619048,0.247782670345,0.0612077657174,19.5672752737,0.0567461592736,2.25353413462,-0.0149053452224,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,-6.55313035612,0.0295490050718,688.338049695,37.2330149199
89,-1.06748466258,20.3571428571,0.24824580259,0.0616565816967,19.5806426808,0.0522242749037,2.26465223027,-0.0150069720299,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,-6.80511661596,0.0313948607372,703.982096279,37.2584506977
90,-1.06748466258,20.8095238095,0.248544841593,0.0620151107867,19.5948451178,0.0494747965135,2.27529939207,-0.0149575662398,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,-29.8546931149,0.0764244915379,719.626142863,37.2854753878
91,-1.05555555556,0.457831325301,2.23642611873,0.55768753651,5.13595767128,-0.0317839173362,0.0291201233379,-2.09132941434,Sr20R21_phi0_alpha0_U20_loc05_tr.dat,serrated,0,0,20,0.25,-8542.92061029,4.66852248161,15.9951996946,9.67341707686
92,-1.05555555556,0.915662650602,2.24433265152,0.793749369633,7.27335350623,0.0569858148491,0.249684021232,-2.4908117411,Sr20R21_phi0_alpha0_U20_loc05_tr.dat,serrated,0,0,20,0.25,-3113.03377924,1.60257159528,31.9903993892,13.6991358801
93,-1.05555555556,1.3734939759,2.05577134641,0.850959300882,8.00706098359,0.116574661091,0.401476391655,-1.98165887386,Sr20R21_phi0_alpha0_U20_loc05_tr.dat,serrated,0,0,20,0.25,-1724.81965776,1.92396985851,47.9855990838,15.0810511713
